Order_ID,Date,Type,Customer,Customer_ID,Customer_DOB,Customer_Membership_Status,Products,Quantities,Prices,Discount_Code
3833,27/05/2025,Dine In,Billy May,33,10/09/1998,Non-Member,"c(""Hot Chocolate"")",c(1),c(3.25),NA
3793,08/05/2025,Dine In,Cyenna Ross,566,11/04/1986,Non-Member,"c(""Americano"")",c(1),c(3),NA
2185,27/08/2025,Dine In,Homero Delgado,167,02/12/1989,Non-Member,"c(""Iced Latte"", ""Decaf"")","c(1, 1)","c(3.75, 0)",NA
2254,03/08/2025,Dine In,Johnny Garcia,279,18/08/1982,Member,"c(""Frappuccino"")",c(1),c(4.5),NA
3825,27/06/2025,Dine In,Carlos Marquez Solis,547,17/02/1999,Non-Member,"c(""Espresso"", ""Oat Milk"")","c(1, 1)","c(2.5, 0.6)",OFF5
1463,09/08/2025,Deliveroo,Aaron Villano,285,11/06/1985,Non-Member,"c(""Frappuccino"", ""Croissant"", ""Sandwich"")","c(1, 1, 1)","c(4.5, 2.75, 5.5)",OFF5
970,31/07/2025,Deliveroo,Madison Blicharz,316,30/03/1978,Non-Member,"c(""Latte"")",c(1),c(3.5),NA
3174,22/05/2025,Dine In,Damaris Arguelles,411,19/08/2003,Non-Member,"c(""Iced Latte"", ""Scone"", ""Brownie"")","c(1, 1, 1)","c(3.75, 2.25, 2.5)",NA
1113,07/08/2025,Dine In,Shauntaul Smith,286,13/09/1984,Non-Member,"c(""Latte"")",c(1),c(3.5),NA
1918,03/08/2025,Dine In,Tyrec Ashe,542,27/12/1981,Member,"c(""Espresso"")",c(1),c(2.5),NA
1297,06/07/2025,Dine In,Ryan Chalmers,16,08/12/1990,Member,"c(""Frappuccino"")",c(1),c(4.5),NA
2340,09/05/2025,Deliveroo,Claire Colton,152,11/09/2001,Member,"c(""Espresso"")",c(2),c(2.5),NA
3741,13/05/2025,Deliveroo,Alberto Carbajal,87,14/10/2003,Member,"c(""Cold Brew"", ""Large Size"")","c(2, 1)","c(3.25, 0.5)",NA
1846,01/08/2025,Deliveroo,Victor Thomas,246,15/11/1994,Non-Member,"c(""Iced Latte"", ""Syrup"")","c(1, 1)","c(3.75, 0.5)",NA
2414,27/06/2025,Dine In,Maria Villalobos,51,16/10/1980,Non-Member,"c(""Mocha"")",c(1),c(4),NA
924,13/06/2025,Deliveroo,Katherine Yang,469,07/01/1977,Non-Member,"c(""Cappuccino"", ""Almond Milk"")","c(1, 1)","c(3.25, 0.5)",NA
3854,11/07/2025,Dine In,Cheyenne Cho,349,16/10/1998,Non-Member,"c(""Latte"", ""Almond Milk"")","c(1, 1)","c(3.5, 0.5)",NA
108,19/07/2025,Dine In,Trenten Carroll,104,30/04/1989,Non-Member,"c(""Flat White"", ""Syrup"")","c(2, 1)","c(3.75, 0.5)",NA
1127,09/05/2025,Deliveroo,Mckenna Klafka,384,07/02/1986,Member,"c(""Cold Brew"")",c(1),c(3.25),NA
2599,30/05/2025,Deliveroo,Khadija Samadh,365,26/02/1995,Member,"c(""Hot Chocolate"", ""Syrup"")","c(2, 1)","c(3.25, 0.5)",NA
3054,26/07/2025,Deliveroo,Fotobari Gutierrez,82,23/03/1994,Non-Member,"c(""Flat White"", ""Danish"")","c(1, 1)","c(3.75, 2.75)",NA
1759,18/06/2025,Deliveroo,Adden Hairston,126,28/07/1977,Non-Member,"c(""Espresso"", ""Cookie"")","c(1, 1)","c(2.5, 2)",NA
2643,13/06/2025,Deliveroo,Lexxus Bruce,198,20/11/1989,Non-Member,"c(""Mocha"")",c(1),c(4),NA
92,14/06/2025,Dine In,Kendall Brown,514,20/12/1983,Non-Member,"c(""Chai Latte"", ""Extra Shot"", ""Scone"")","c(1, 1, 1)","c(3.5, 0.6, 2.25)",OFF5
169,04/05/2025,Deliveroo,Peyton Conley,600,18/11/1979,Member,"c(""Espresso"")",c(1),c(2.5),NA
773,18/08/2025,Dine In,Alejandro Arreguin-Almanza,475,23/11/1990,Non-Member,"c(""Americano"")",c(1),c(3),NA
3038,02/05/2025,Dine In,Tyler Holland,188,23/03/1991,Non-Member,"c(""Flat White"", ""Cake Slice"")","c(2, 1)","c(3.75, 3.75)",NA
1425,19/05/2025,Deliveroo,Grace Welsh,288,02/07/1989,Member,"c(""Hot Chocolate"")",c(1),c(3.25),NA
1552,20/05/2025,Dine In,Ciera Thomas,174,21/11/1990,Non-Member,"c(""Cold Brew"")",c(1),c(3.25),NA
1705,13/06/2025,Dine In,Carlos Galdamez,151,26/03/1984,Member,"c(""Americano"", ""Syrup"")","c(1, 1)","c(3, 0.5)",NA
1996,17/08/2025,Deliveroo,Amy Gonzalez,207,04/10/1983,Non-Member,"c(""Tea"", ""Extra Shot"")","c(1, 1)","c(2.25, 0.6)",NA
485,15/06/2025,Dine In,Yumi Xiong,141,11/11/1999,Member,"c(""Mocha"", ""Salad"")","c(1, 2)","c(4, 7.5)",NA
421,27/06/2025,Deliveroo,David Clark,196,19/06/1980,Non-Member,"c(""Cold Brew"")",c(2),c(3.25),OFF5
3110,02/07/2025,Dine In,Andrea Yang,229,10/10/1985,Non-Member,"c(""Mocha"", ""Extra Shot"")","c(1, 1)","c(4, 0.6)",NA
3864,14/07/2025,Deliveroo,Jonavan Iverson,418,27/02/1978,Non-Member,"c(""Macchiato"", ""Large Size"", ""Cake Slice"", ""Panini"")","c(1, 1, 1, 1)","c(3.8, 0.5, 3.75, 6)",NA
846,09/06/2025,Deliveroo,Amber Le,565,18/12/2000,Non-Member,"c(""Tea"", ""Almond Milk"")","c(1, 1)","c(2.25, 0.5)",NA
2748,27/06/2025,Dine In,Lily Materkowski,173,27/01/1998,Member,"c(""Americano"", ""Salad"")","c(1, 1)","c(3, 7.5)",NA
25,08/08/2025,Dine In,Se Ra Raab,461,19/04/2003,Non-Member,"c(""Frappuccino"", ""Bagel"")","c(1, 1)","c(4.5, 2.5)",NA
1690,02/05/2025,Deliveroo,James Williams,410,26/10/1982,Non-Member,"c(""Espresso"")",c(1),c(2.5),NA
3079,31/07/2025,Dine In,Eduardo Gonzales,319,28/02/1985,Member,"c(""Espresso"", ""Syrup"")","c(1, 1)","c(2.5, 0.5)",NA
3010,31/08/2025,Dine In,Emily Rusakevich,532,23/03/1978,Non-Member,"c(""Espresso"")",c(1),c(2.5),NA
820,22/06/2025,Dine In,Michael Jaramillo,339,26/11/1994,Non-Member,"c(""Latte"")",c(1),c(3.5),NA
225,22/07/2025,Dine In,Jenesa Sawyers,84,11/03/1988,Non-Member,"c(""Americano"", ""Oat Milk"")","c(1, 1)","c(3, 0.6)",NA
2193,30/07/2025,Deliveroo,Alexis Rojas,323,13/09/1978,Non-Member,"c(""Tea"", ""Almond Milk"")","c(1, 1)","c(2.25, 0.5)",NA
572,15/07/2025,Dine In,Maya Morris,450,04/03/1996,Member,"c(""Iced Latte"", ""Extra Shot"")","c(1, 1)","c(3.75, 0.6)",NA
1227,13/08/2025,Dine In,Torin Marker,292,01/12/1993,Non-Member,"c(""Hot Chocolate"", ""Sandwich"")","c(2, 1)","c(3.25, 5.5)",NA
1158,29/06/2025,Deliveroo,Jessica Talavera,391,08/04/1979,Non-Member,"c(""Cold Brew"", ""Extra Shot"")","c(1, 1)","c(3.25, 0.6)",NA
1088,07/07/2025,Deliveroo,Catherine Fresquez,11,13/05/1987,Non-Member,"c(""Chai Latte"")",c(1),c(3.5),NA
636,24/08/2025,Dine In,Bryant Mostafa,305,14/09/1983,Non-Member,"c(""Macchiato"", ""Cookie"")","c(1, 1)","c(3.8, 2)",NA
2358,28/07/2025,Deliveroo,Megan Garcia,367,28/07/1981,Non-Member,"c(""Americano"")",c(2),c(3),NA
3179,23/06/2025,Deliveroo,Gregory Silverstein,228,09/01/1989,Non-Member,"c(""Frappuccino"", ""Extra Foam"")","c(1, 1)","c(4.5, 0)",NA
1799,09/06/2025,Dine In,Varun Suh,153,02/08/2002,Non-Member,"c(""Iced Latte"", ""Large Size"")","c(2, 1)","c(3.75, 0.5)",NA
3735,24/05/2025,Dine In,Serena Mccoy,138,29/01/1994,Non-Member,"c(""Mocha"", ""Soy Milk"")","c(1, 1)","c(4, 0.5)",NA
3182,16/08/2025,Dine In,Kelyn Alarid-Bowers,463,15/11/1987,Non-Member,"c(""Chai Latte"", ""Danish"", ""Cake Slice"")","c(2, 1, 1)","c(3.5, 2.75, 3.75)",NA
593,07/06/2025,Dine In,Belicia Tran,225,26/01/1994,Member,"c(""Tea"")",c(1),c(2.25),NA
3843,24/06/2025,Dine In,Eyerusalem Willingham,458,07/12/1995,Member,"c(""Cappuccino"")",c(1),c(3.25),NA
1279,15/08/2025,Dine In,Raymond Delahoussaye,334,21/09/1996,Member,"c(""Hot Chocolate"")",c(1),c(3.25),NA
523,20/05/2025,Deliveroo,Ryan Chalmers,16,08/12/1990,Member,"c(""Macchiato"")",c(2),c(3.8),NA
2495,19/07/2025,Dine In,Trenten Carroll,104,30/04/1989,Member,"c(""Frappuccino"", ""Panini"", ""Muffin"", ""Cake Slice"")","c(1, 2, 1, 1)","c(4.5, 6, 3, 3.75)",NA
585,07/07/2025,Deliveroo,Maren Poonpiset,549,12/05/1976,Member,"c(""Macchiato"", ""Panini"")","c(1, 1)","c(3.8, 6)",NA
1439,21/06/2025,Deliveroo,Jessica Grajeda Rivera,467,02/07/1979,Non-Member,"c(""Chai Latte"", ""Panini"")","c(1, 1)","c(3.5, 6)",OFF5
564,02/06/2025,Deliveroo,Alyssa Shaw,210,03/11/1979,Member,"c(""Tea"", ""Large Size"")","c(2, 1)","c(2.25, 0.5)",OFF5
667,07/05/2025,Deliveroo,Janiva Robinson,238,12/06/1979,Non-Member,"c(""Flat White"", ""Large Size"")","c(1, 1)","c(3.75, 0.5)",OFF5
2589,27/08/2025,Dine In,Victor Thomas,246,15/11/1994,Non-Member,"c(""Mocha"", ""Panini"", ""Muffin"")","c(1, 1, 1)","c(4, 6, 3)",NA
213,25/08/2025,Dine In,Joey Kim,465,10/11/1990,Non-Member,"c(""Tea"", ""Brownie"")","c(1, 1)","c(2.25, 2.5)",NA
919,02/07/2025,Dine In,Tajianay Solomon,186,06/01/1976,Non-Member,"c(""Macchiato"", ""Extra Shot"")","c(1, 1)","c(3.8, 0.6)",NA
1017,01/06/2025,Deliveroo,Mariah Ford,466,18/09/1979,Non-Member,"c(""Espresso"")",c(2),c(2.5),NA
2087,28/06/2025,Deliveroo,Amanda Traynor,428,16/05/1984,Member,"c(""Americano"")",c(2),c(3),NA
2005,11/06/2025,Deliveroo,Danielle Pilkington,236,27/06/1977,Non-Member,"c(""Cappuccino"", ""Soy Milk"")","c(1, 1)","c(3.25, 0.5)",NA
1661,13/07/2025,Deliveroo,Vincent Ly,477,06/07/2000,Non-Member,"c(""Hot Chocolate"", ""Oat Milk"")","c(1, 1)","c(3.25, 0.6)",NA
2309,13/07/2025,Dine In,Geoffrey Leafgreen,392,28/07/1994,Member,"c(""Frappuccino"")",c(1),c(4.5),NA
3861,23/07/2025,Dine In,Rejoya Nelson,6,05/03/1995,Member,"c(""Espresso"", ""Extra Foam"")","c(1, 1)","c(2.5, 0)",NA
3109,15/08/2025,Deliveroo,Jacinda Pluto,281,24/10/1984,Member,"c(""Hot Chocolate"", ""Extra Foam"")","c(2, 1)","c(3.25, 0)",NA
1569,28/06/2025,Deliveroo,Jessica Talavera,391,08/04/1979,Non-Member,"c(""Chai Latte"")",c(2),c(3.5),NA
3589,13/08/2025,Deliveroo,Cheng Justino,357,09/04/1985,Member,"c(""Espresso"", ""Salad"")","c(1, 1)","c(2.5, 7.5)",NA
681,22/06/2025,Deliveroo,Michael Hang,485,28/12/1982,Non-Member,"c(""Americano"")",c(1),c(3),NA
819,08/08/2025,Dine In,Juan Avila,247,19/03/2001,Non-Member,"c(""Americano"", ""Danish"")","c(1, 1)","c(3, 2.75)",NA
2996,20/07/2025,Dine In,Melat Bowens,122,01/10/1977,Member,"c(""Hot Chocolate"", ""Sandwich"", ""Danish"")","c(2, 1, 1)","c(3.25, 5.5, 2.75)",OFF5
3740,05/07/2025,Deliveroo,Audrianna Chairez Esquivel,219,14/06/2000,Non-Member,"c(""Cappuccino"")",c(2),c(3.25),NA
3431,09/05/2025,Deliveroo,Ryan Huang,193,01/11/1986,Non-Member,"c(""Frappuccino"")",c(1),c(4.5),OFF5
1035,04/05/2025,Dine In,Jayce Neely,372,31/07/1982,Member,"c(""Latte"", ""Croissant"")","c(1, 1)","c(3.5, 2.75)",OFF5
1920,18/07/2025,Dine In,Juan Avila,247,19/03/2001,Member,"c(""Cold Brew"")",c(1),c(3.25),NA
2866,02/05/2025,Dine In,Viridiana Sanchez,79,24/05/1984,Member,"c(""Cold Brew"")",c(1),c(3.25),NA
3365,22/07/2025,Dine In,Ashley Agbim,66,05/12/1987,Non-Member,"c(""Americano"", ""Brownie"")","c(2, 1)","c(3, 2.5)",NA
2783,20/05/2025,Dine In,Daniel Sanchez,227,25/02/2002,Non-Member,"c(""Mocha"")",c(1),c(4),OFF5
3387,27/05/2025,Dine In,Jastina Cameron,217,28/09/1998,Non-Member,"c(""Latte"", ""Brownie"", ""Danish"")","c(2, 1, 1)","c(3.5, 2.5, 2.75)",NA
3802,28/07/2025,Dine In,Maya Xanoubane,481,28/09/1977,Non-Member,"c(""Frappuccino"")",c(1),c(4.5),NA
3141,22/05/2025,Deliveroo,Daniel Hsu,165,06/12/1996,Non-Member,"c(""Latte"", ""Brownie"")","c(2, 1)","c(3.5, 2.5)",OFF5
2458,30/08/2025,Deliveroo,Alexandra Miller,81,26/09/1979,Member,"c(""Tea"", ""Danish"")","c(1, 1)","c(2.25, 2.75)",NA
3738,11/07/2025,Deliveroo,Alissa Blanco,111,11/10/2002,Non-Member,"c(""Cold Brew"", ""Extra Shot"")","c(1, 1)","c(3.25, 0.6)",NA
3285,15/05/2025,Deliveroo,Tyko Santistevan,245,13/04/1980,Member,"c(""Americano"", ""Bagel"")","c(2, 1)","c(3, 2.5)",NA
1316,12/07/2025,Dine In,Lydia Holt,562,12/09/1980,Non-Member,"c(""Hot Chocolate"", ""Oat Milk"", ""Brownie"")","c(1, 1, 1)","c(3.25, 0.6, 2.5)",OFF5
238,18/05/2025,Dine In,Blair Pachelli,40,20/04/1984,Non-Member,"c(""Americano"")",c(1),c(3),NA
1302,25/05/2025,Dine In,Jeremiah Williams,74,21/12/1989,Non-Member,"c(""Tea"", ""Salad"")","c(1, 1)","c(2.25, 7.5)",NA
2632,28/08/2025,Deliveroo,Andrew Brown,269,23/05/1980,Non-Member,"c(""Cappuccino"", ""Large Size"")","c(1, 1)","c(3.25, 0.5)",NA
1054,30/07/2025,Dine In,Melissa Sanchez,287,27/11/1991,Non-Member,"c(""Cold Brew"")",c(1),c(3.25),NA
477,11/07/2025,Deliveroo,Kelyn Alarid-Bowers,463,15/11/1987,Member,"c(""Chai Latte"")",c(1),c(3.5),NA
839,08/06/2025,Dine In,Kasey Sheets,206,19/12/1977,Non-Member,"c(""Iced Latte"")",c(1),c(3.75),NA
1268,02/08/2025,Deliveroo,Rathana Nguyen,37,17/05/1984,Member,"c(""Latte"", ""Almond Milk"")","c(1, 1)","c(3.5, 0.5)",NA
3845,16/06/2025,Dine In,Aaron Villano,285,11/06/1985,Non-Member,"c(""Flat White"")",c(1),c(3.75),OFF5
1818,05/05/2025,Dine In,Alexandra Vasquez,163,03/01/1985,Non-Member,"c(""Frappuccino"")",c(1),c(4.5),NA
3332,15/05/2025,Dine In,Cesar Wagner,375,23/08/1986,Member,"c(""Frappuccino"")",c(2),c(4.5),NA
1341,12/05/2025,Deliveroo,Devin Hall,212,05/08/1984,Non-Member,"c(""Tea"")",c(1),c(2.25),NA
348,08/06/2025,Dine In,Lynsey Lippitt,252,11/05/1976,Member,"c(""Chai Latte"")",c(1),c(3.5),NA
3069,29/07/2025,Dine In,Audrianna Chairez Esquivel,219,14/06/2000,Member,"c(""Tea"", ""Syrup"")","c(1, 1)","c(2.25, 0.5)",NA
940,05/08/2025,Dine In,Melissa Adapa,361,21/08/1991,Non-Member,"c(""Chai Latte"", ""Large Size"", ""Panini"")","c(1, 1, 1)","c(3.5, 0.5, 6)",OFF5
1406,22/07/2025,Dine In,Samantha Aguiar,180,06/12/1988,Member,"c(""Hot Chocolate"")",c(1),c(3.25),NA
2902,08/05/2025,Dine In,Jordan Garcia Corchado,3,30/07/1996,Non-Member,"c(""Chai Latte"")",c(1),c(3.5),NA
1843,30/08/2025,Deliveroo,Keasha Nelson,162,07/10/1978,Member,"c(""Iced Latte"", ""Danish"")","c(1, 1)","c(3.75, 2.75)",NA
1936,13/06/2025,Deliveroo,Mathew Mcelhoes,464,20/09/1992,Non-Member,"c(""Macchiato"")",c(1),c(3.8),NA
1841,06/08/2025,Dine In,Johnathon Novick,370,01/04/1999,Non-Member,"c(""Flat White"")",c(1),c(3.75),NA
1630,02/05/2025,Dine In,Nikki Ortega,443,07/12/1989,Non-Member,"c(""Macchiato"", ""Syrup"")","c(1, 1)","c(3.8, 0.5)",NA
1575,28/06/2025,Dine In,Patrick Hetrick,336,30/12/2000,Non-Member,"c(""Iced Latte"")",c(1),c(3.75),OFF5
686,15/08/2025,Dine In,Gregory Silverstein,228,09/01/1989,Non-Member,"c(""Cappuccino"", ""Almond Milk"")","c(1, 1)","c(3.25, 0.5)",NA
1994,27/07/2025,Dine In,Jeremy Seymour,404,29/11/1995,Non-Member,"c(""Americano"", ""Almond Milk"")","c(1, 1)","c(3, 0.5)",NA
321,30/05/2025,Deliveroo,Daryell O'Kain,46,16/02/1991,Non-Member,"c(""Cold Brew"")",c(1),c(3.25),NA
3629,19/07/2025,Dine In,Ineque Cuevas,563,17/09/1989,Member,"c(""Tea"")",c(1),c(2.25),NA
821,01/05/2025,Dine In,Kailynn Essig,356,03/10/1991,Member,"c(""Iced Latte"")",c(1),c(3.75),NA
3573,20/07/2025,Deliveroo,Selam O'Donnell,322,07/06/1985,Non-Member,"c(""Iced Latte"", ""Panini"")","c(1, 1)","c(3.75, 6)",NA
3587,08/06/2025,Dine In,Joshua Ramsay,540,02/04/1980,Member,"c(""Frappuccino"", ""Cookie"")","c(1, 1)","c(4.5, 2)",NA
2064,06/08/2025,Dine In,Gabriella Rivera,307,25/01/1983,Member,"c(""Cappuccino"")",c(2),c(3.25),NA
3358,05/06/2025,Deliveroo,James Montes,271,08/01/1998,Non-Member,"c(""Macchiato"", ""Decaf"")","c(2, 1)","c(3.8, 0)",NA
3584,23/07/2025,Deliveroo,James Khabir,2,09/07/1999,Member,"c(""Tea"")",c(1),c(2.25),NA
3430,17/08/2025,Deliveroo,Gabriella Miera,311,04/07/1979,Non-Member,"c(""Flat White"", ""Syrup"")","c(2, 1)","c(3.75, 0.5)",NA
3131,11/05/2025,Deliveroo,Selena Ly Payia,325,18/04/1986,Member,"c(""Macchiato"")",c(1),c(3.8),NA
1285,24/08/2025,Dine In,Susana Ruiz,551,08/09/2002,Member,"c(""Tea"", ""Cake Slice"")","c(1, 1)","c(2.25, 3.75)",NA
20,10/05/2025,Dine In,Danielle Pilkington,236,27/06/1977,Non-Member,"c(""Chai Latte"", ""Cake Slice"")","c(1, 1)","c(3.5, 3.75)",NA
127,26/08/2025,Dine In,Halle Cummings,414,06/09/1977,Member,"c(""Americano"", ""Danish"", ""Scone"")","c(1, 1, 1)","c(3, 2.75, 2.25)",NA
1657,20/07/2025,Dine In,Daniel Hsu,165,06/12/1996,Non-Member,"c(""Hot Chocolate"")",c(1),c(3.25),NA
2826,07/06/2025,Deliveroo,Diamond Mitchell,470,27/07/1996,Non-Member,"c(""Flat White"", ""Syrup"")","c(1, 1)","c(3.75, 0.5)",NA
588,06/05/2025,Dine In,Alemayehu Waits,294,15/11/1995,Non-Member,"c(""Latte"")",c(1),c(3.5),NA
678,17/06/2025,Deliveroo,Isaiah Cates,462,11/02/1978,Member,"c(""Tea"", ""Sandwich"")","c(1, 1)","c(2.25, 5.5)",NA
3197,14/05/2025,Dine In,Kaylee Clem,544,15/04/2003,Member,"c(""Latte"")",c(1),c(3.5),NA
552,26/07/2025,Dine In,Chance Smith,564,02/11/1997,Non-Member,"c(""Chai Latte"")",c(1),c(3.5),NA
709,17/08/2025,Dine In,Cesar Wagner,375,23/08/1986,Non-Member,"c(""Chai Latte"", ""Large Size"")","c(1, 1)","c(3.5, 0.5)",NA
3671,26/08/2025,Dine In,T'Koia Hysaw,250,06/05/1997,Member,"c(""Cappuccino"", ""Extra Foam"")","c(1, 1)","c(3.25, 0)",NA
2030,02/06/2025,Deliveroo,Randy Atayde,491,09/09/1983,Non-Member,"c(""Cold Brew"")",c(1),c(3.25),NA
2114,26/05/2025,Dine In,Bryan Kilburn,24,20/12/1981,Member,"c(""Frappuccino"")",c(1),c(4.5),NA
897,27/05/2025,Dine In,Kiefer Ronan,88,11/04/1988,Non-Member,"c(""Macchiato"")",c(1),c(3.8),NA
320,07/08/2025,Dine In,Keyonna Soliday,558,06/10/1993,Non-Member,"c(""Frappuccino"", ""Syrup"")","c(1, 1)","c(4.5, 0.5)",NA
2298,17/08/2025,Deliveroo,Janiva Robinson,238,12/06/1979,Member,"c(""Latte"", ""Extra Foam"")","c(1, 1)","c(3.5, 0)",NA
2830,23/07/2025,Deliveroo,Aram Trinh,145,11/02/1991,Non-Member,"c(""Espresso"", ""Bagel"", ""Sandwich"")","c(1, 1, 1)","c(2.5, 2.5, 5.5)",NA
1270,01/05/2025,Dine In,Jasmin Dickerson,135,05/06/1984,Member,"c(""Macchiato"")",c(1),c(3.8),NA
1732,23/07/2025,Dine In,Jalal Kalkbrenner-Edmond,530,28/05/1987,Member,"c(""Latte"", ""Almond Milk"")","c(1, 1)","c(3.5, 0.5)",NA
3656,29/06/2025,Dine In,Cierra Dauthard,290,04/07/1996,Non-Member,"c(""Chai Latte"", ""Soy Milk"")","c(2, 1)","c(3.5, 0.5)",NA
2610,06/06/2025,Dine In,Catherine Fresquez,11,13/05/1987,Non-Member,"c(""Cappuccino"", ""Decaf"")","c(1, 1)","c(3.25, 0)",NA
32,08/05/2025,Deliveroo,Alexandra Rice,374,18/08/1988,Member,"c(""Frappuccino"", ""Cake Slice"", ""Cookie"")","c(1, 1, 1)","c(4.5, 3.75, 2)",OFF5
2970,18/08/2025,Dine In,Joshua Mahan,408,27/04/1977,Non-Member,"c(""Mocha"", ""Large Size"")","c(1, 1)","c(4, 0.5)",NA
2757,01/06/2025,Deliveroo,James Wolfe,440,09/08/1980,Non-Member,"c(""Iced Latte"")",c(1),c(3.75),NA
1519,08/05/2025,Dine In,Liz Sanchez,447,22/11/1986,Non-Member,"c(""Tea"", ""Scone"", ""Croissant"")","c(1, 1, 1)","c(2.25, 2.25, 2.75)",NA
402,08/07/2025,Dine In,Alberto Carbajal,87,14/10/2003,Member,"c(""Hot Chocolate"", ""Syrup"")","c(1, 1)","c(3.25, 0.5)",NA
1050,15/07/2025,Deliveroo,Nikki Ortega,443,07/12/1989,Member,"c(""Macchiato"", ""Soy Milk"")","c(1, 1)","c(3.8, 0.5)",NA
3926,14/07/2025,Dine In,Brandon Luevano,243,24/12/1978,Member,"c(""Cold Brew"")",c(1),c(3.25),OFF5
2878,27/05/2025,Dine In,Adrienne Manzanares,399,31/05/1980,Member,"c(""Macchiato"", ""Brownie"")","c(1, 1)","c(3.8, 2.5)",NA
146,15/05/2025,Dine In,Hari-Parkash Colletti,268,08/12/1983,Non-Member,"c(""Cold Brew"")",c(2),c(3.25),NA
